ticket_id,title,description,category,priority,resolution_steps,resolved_date
OPM-0001,Slow network in Bengaluru office,Users at Bengaluru site report very slow file transfers and video calls dropping since morning. Approx 6 users affected.,Network,P1,"1. Check WAN link utilisation on the Bengaluru edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2024-01-31
OPM-0002,Account locked after failed logins,User s.khan locked out of AD account after multiple failed password attempts on Windows 11. Needs urgent access for HR work.,Access,P3,"1. Verify user identity per security policy (manager + employee ID).
2. Unlock account in Active Directory Users and Computers.
3. Reset password and enforce change at next logon.
4. Advise on password manager to prevent recurrence.",2025-03-08
OPM-0003,Printer AST-5521 not printing,Shared printer AST-5521 on floor 40 shows jobs queued but nothing prints; panel displays no error.,Hardware,P3,"1. Restart the print spooler service on the print server.
2. Clear stuck jobs from the queue.
3. Power-cycle the printer and reseat network cable.
4. Print test page; if failing, swap with spare unit and log RMA.",2024-05-07
OPM-0004,Tableau crashes on startup,"After the latest update, Tableau crashes immediately on launch for user in Procurement on macOS 14. Event viewer shows faulting module.",Software,P3,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2025-01-24
OPM-0005,Slow queries on HRMSDB since morning,Application team reports SAP GUI timeouts; DB HRMSDB CPU at high utilisation. A deployment happened last night.,Database,P3,"1. Identify top queries by CPU/reads since the deployment.
2. Compare execution plans against pre-deployment baseline.
3. Update statistics / rebuild the affected index.
4. If regression confirmed, roll back the offending query change.",2024-06-16
OPM-0006,Endpoint flagged with malware on Windows 10,AV console flags trojan on Sales user's machine PRN-104; device auto-isolated from network.,Security,P3,"1. Keep device isolated; collect AV detection details.
2. Run full offline scan and remove the detected threat.
3. Verify no lateral movement from the endpoint in EDR logs.
4. Re-image if persistence is suspected; restore user data from backup.",2024-08-05
OPM-0007,Cannot reach internal portal SAP GUI,"Multiple users report SAP GUI unreachable from office LAN, browser shows DNS_PROBE_FINISHED_NXDOMAIN. Wi-Fi segment VLAN-20.",Network,P2,"1. Verify DNS resolution with nslookup against corporate DNS.
2. Flush client DNS cache (ipconfig /flushdns).
3. Check VLAN VLAN-20 DNS forwarder configuration.
4. Raise change request to correct forwarder entry if wrong.",2024-08-12
OPM-0008,MFA token not received,User m.das does not receive MFA push/SMS on registered device after switching to a new phone. Cannot log in to any SSO app.,Access,P4,"1. Verify identity per policy before any MFA change.
2. Remove old device registration from the MFA portal.
3. Guide user through re-enrolling the new device.
4. Test SSO login to one app and confirm closure.",2025-04-24
OPM-0009,Printer AST-5521 not printing,Shared printer AST-5521 on floor 12 shows jobs queued but nothing prints; panel displays no error.,Hardware,P1,"1. Restart the print spooler service on the print server.
2. Clear stuck jobs from the queue.
3. Power-cycle the printer and reseat network cable.
4. Print test page; if failing, swap with spare unit and log RMA.",2025-04-09
OPM-0010,Email stuck in Outbox,User on macOS 14 reports emails with attachments stay in Outbox; small emails send fine. Mailbox size near 6 GB.,Software,P3,"1. Check attachment size against the send limit.
2. Archive old mail to bring mailbox under quota.
3. Recreate the Outlook profile / clear OST cache.
4. Send test email with attachment and confirm delivery.",2024-11-27
OPM-0011,Nightly job failed on ORDERSDB database,The ETL batch job on ORDERSDB failed at step LOAD with deadlock error. Downstream Expensify reports are stale this morning.,Database,P3,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream Expensify report freshness with data team.",2024-05-11
OPM-0012,Suspicious login alert for m.das,SIEM alert: impossible-travel login for m.das — office login followed by foreign-country login within minutes.,Security,P2,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2024-05-03
OPM-0013,VPN connection drops for Finance user,User in Finance reports VPN disconnects every few minutes on macOS 14. Error shown: gateway timeout. Home ISP is Airtel.,Network,P1,"1. Confirm VPN client version and update if below baseline.
2. Switch VPN protocol from UDP to TCP in client settings.
3. Whitelist VPN executable in local firewall/antivirus.
4. If drops persist, capture client logs and escalate to Network L2.",2024-03-10
OPM-0014,Access request for CRM denied,User v.rao from Finance cannot open CRM; gets 403 Forbidden although manager approved access last week.,Access,P2,"1. Check user's AD group membership against CRM access matrix.
2. Confirm the approval ticket completed provisioning workflow.
3. Add user to the correct entitlement group.
4. Ask user to re-login after 15 minutes; confirm access.",2025-02-20
